Year;Country;value
2009;Algeria;0.284859
1982;Albania;4.065392
1987;Algeria;3.600324
1996;Albania;0.29103
1980;Algeria;0.19084
2003;Malaysia;16.944744
1987;Mauritius;0.075594
2013;Mongolia;9.165022
1987;Morocco;3.83496
2009;Morocco;8.83728
1996;South Africa;301.741143
2005;South Africa;343.913824
1994;South Africa;272.601028
1989;South Africa;261.153524
2014;South Africa;366.61248
1992;South Africa;260.74089
2013;South Africa;370.944
2005;Slovenia;5.037491
2007;Slovenia;5.138694
1983;Spain;91.261365
1983;Swaziland;0.192996
1994;Swaziland;0.383644
1996;Swaziland;0.287535
2006;Swaziland;0.368496
2005;Swaziland;0.276675
2014;Sri Lanka;3.596307
1981;Swaziland;0.38576
1991;Spain;90.909056
1992;Spain;89.990192
2013;Spain;37.705944
1995;Switzerland;0.505374
2000;Switzerland;0.520404
2007;Switzerland;0.450234
1985;Switzerland;1.018612
2009;Switzerland;0.363275
2013;Switzerland;0.34755
2012;Taiwan;133.081029
2001;Taiwan;103.949404
2005;Taiwan;126.876528
2013;Sweden;7.06348
2014;Tajikistan;0.831087
2008;Tajikistan;0.276864
1992;Tajikistan;0.92461
1996;Thailand;40.397769
1985;Thailand;8.656284
1980;Thailand;2.496884
2007;Taiwan;137.355792
2013;Tanzania;0.18417
2014;Tanzania;0.18417
2008;Taiwan;134.13972
2012;Macedonia;5.407419
1995;Macedonia;5.20773
2003;Macedonia;5.41212
2007;Morocco;10.863316
1997;Macedonia;4.8212
1993;Namibia;0.184404
2007;Namibia;0.184058
1991;Morocco;4.369172
1992;Morocco;3.725007
1994;Morocco;4.172124
2008;Swaziland;0.36798
1980;Sweden;5.414202
2011;Sweden;7.544784
1990;Sweden;9.244719
1999;Sweden;7.732098
2012;Burma (Myanmar);1.566669
1984;Burma (Myanmar);0.569772
1983;Burma (Myanmar);0.471745
1987;Afghanistan;0.276927
1988;Afghanistan;0.276654
1980;Afghanistan;0.18436
1984;Afghanistan;0.27687
2009;Afghanistan;0.92105
1990;Bulgaria;34.411311
1996;Bulgaria;31.646248
2008;Bulgaria;30.319355
1993;Austria;11.340035
1987;China;1664.270832
1992;Austria;13.31837
1995;Austria;12.02391
1989;Austria;14.29384
2012;Austria;8.388936
2013;Austria;8.388936
2009;Austria;7.795026
1998;Austria;11.4829
2007;Chile;10.911348
1995;Dominican Republic;0.18391
2003;Dominican Republic;0.73672
2008;Burma (Myanmar);1.291934
2011;Czech Republic;65.44122
2002;Burma (Myanmar);0.9222
1992;Bangladesh;0.276039
1993;Colombia;13.644973
1987;Colombia;11.287341
2012;Colombia;12.437354
1985;Former Czechoslovakia;154.196502
1982;Former Czechoslovakia;154.682638
1991;Former Czechoslovakia;123.603896
1992;Former Czechoslovakia;109.60326
1983;Former Czechoslovakia;156.5624
1987;Former Yugoslavia;142.244598
1985;Former Yugoslavia;140.435498
1988;Former U.S.S.R.;1350.995088
1989;Former U.S.S.R.;1278.411982
2007;Finland;15.183627
1988;Korea, North;65.422196
1991;Korea, North;63.342786
1986;Korea, North;54.440141
2013;Kazakhstan;147.150152
1981;India;184.55624
1990;India;335.12388
1984;Kenya;0.184928
1990;Kenya;0.276786
1993;Kenya;0.276789
1995;Kenya;0.276537
2011;Indonesia;127.825084
1987;Indonesia;10.821213
1991;Indonesia;19.193616
2008;Indonesia;110.5116
1993;Indonesia;20.10178
1986;Indonesia;8.9725
1980;Italy;39.91873
2014;Italy;43.88112
2012;Iran;1.754622
1985;Iran;2.906048
1996;Jamaica;0.092229
1998;Jamaica;0.183704
2009;Jamaica;0.094939
1986;Japan;220.496862
1981;Italy;42.476616
1994;Italy;36.782928
2001;Italy;42.878524
2008;Italy;54.680522
2004;Kenya;0.368704
2007;Kenya;0.368448
2011;India;1122.480878
2013;India;1245.170808
1996;Iceland;0.196944
2000;Iceland;0.196846
2001;Iceland;0.196302
2006;Iceland;0.289542
2003;India;621.855036
1987;India;276.820424
2009;India;979.953028
1980;India;163.77246
2000;Kazakhstan;79.95456
2001;Japan;325.663533
1984;Japan;219.119716
1996;Japan;283.232439
1992;Switzerland;0.372204
2008;Switzerland;0.371425
1981;Switzerland;1.771471
1988;Switzerland;0.91249
1993;Switzerland;0.29038
2002;Switzerland;0.29778
2008;Ukraine;146.59792
1997;Ukraine;132.63615
2008;U.S. Territories;-
2007;U.S. Territories;-
1982;World;6842.605974
1987;World;8021.540411
1988;World;8279.022865
1994;World;7815.554966
1997;World;8088.474519
2000;World;8588.192267
1986;Afghanistan;0.276942
1981;Afghanistan;0.277059
2008;Afghanistan;0.644749
2010;Afghanistan;1.38117
2007;Afghanistan;0.46021
1985;Albania;5.066442
1998;Australia;167.818981
1988;Australia;116.55252
1991;Australia;131.6526
1982;Argentina;2.860618
2006;Austria;12.580978
1980;Austria;15.665886
1990;Austria;15.01675
1984;Austria;19.47158
1983;Albania;4.440701
2011;Austria;9.220663
2010;Argentina;3.054356
1994;Argentina;3.343875
2013;Argentina;3.500211
2008;Argentina;3.060782
1980;Argentina;2.944224
1993;Argentina;2.319824
